room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10485711,15599448,Entire home/apt,,Anacostia,0,,5.0,3.0,60.0,14.0,38.86662,-76.97869,2016-02-21 01:05:57.597148
5834173,9011212,Entire home/apt,,Capitol Hill,0,,,3.0,350.0,1.0,38.901596,-77.000279,2016-02-21 01:05:45.951249
923157,4964128,Entire home/apt,,South West,3,5.0,3.0,1.0,125.0,2.0,38.873218,-77.010989,2016-02-21 01:05:35.517869
4165070,21617308,Entire home/apt,,Adams Morgan,15,4.5,3.0,1.0,89.0,2.0,38.919915,-77.043209,2016-02-21 01:05:28.594885
8327542,43899206,Entire home/apt,,Cleveland Park,1,5.0,1.0,0.0,54.0,1.0,38.938238,-77.061009,2016-02-21 01:05:23.648338
6935575,121575,Entire home/apt,,Capitol Hill,40,5.0,3.0,1.0,129.0,3.0,38.901091,-76.998581,2016-02-21 01:05:21.237323
674940,17633,Entire home/apt,,Capitol Hill,26,5.0,4.0,1.0,99.0,,38.897054,-77.00146,2016-02-21 01:05:17.270148
6807421,8918529,Entire home/apt,,Adams Morgan,1,5.0,4.0,2.0,180.0,2.0,38.916685,-77.04416,2016-02-21 01:04:44.811225
2563683,25188,Entire home/apt,,Downtown,3,4.5,2.0,1.0,269.0,3.0,38.900089,-77.018817,2016-02-21 01:04:39.599647
10385208,53461640,Entire home/apt,,Logan Circle,0,,3.0,0.0,150.0,1.0,38.907144,-77.034977,2016-02-21 01:04:31.550956
644872,3199189,Private room,,U Street Corridor,27,4.5,2.0,1.0,61.0,3.0,38.914077,-77.028064,2016-02-21 01:04:28.307698
2318183,8041566,Entire home/apt,,Columbia Heights,21,5.0,2.0,1.0,100.0,2.0,38.932867,-77.031003,2016-02-21 01:04:25.427010
6779201,35488526,Entire home/apt,,Adams Morgan,6,4.5,3.0,1.0,87.0,2.0,38.917758,-77.043248,2016-02-21 01:04:16.528026
8389501,41283502,Private room,,Catholic University-Brookland,0,,2.0,1.0,300.0,3.0,38.938247,-76.989023,2016-02-21 01:04:14.021914
7410502,38826760,Private room,,Catholic University-Brookland,0,,2.0,1.0,75.0,2.0,38.950818,-77.02184,2016-02-21 01:04:09.792530
3721363,19008477,Entire home/apt,,Capitol Hill,32,5.0,2.0,0.0,180.0,2.0,38.89058,-76.99622,2016-02-21 01:04:02.572617
7809701,27323824,Entire home/apt,,Georgetown,23,4.5,5.0,2.0,199.0,1.0,38.909424,-77.055716,2016-02-21 01:03:28.668156
2568578,6868704,Entire home/apt,,Logan Circle,67,5.0,2.0,0.0,130.0,,38.909326,-77.031113,2016-02-21 01:03:18.837552
8783700,10018131,Private room,,Ledroit Park,10,3.5,2.0,1.0,39.0,1.0,38.918237,-77.00946,2016-02-21 01:03:15.553350
8170185,29154565,Private room,,Dupont Circle,9,4.5,2.0,1.0,70.0,1.0,38.910298,-77.038168,2016-02-21 01:02:34.265000
6209704,32199934,Entire home/apt,,Columbia Heights,1,5.0,4.0,2.0,225.0,1.0,38.92389,-77.034111,2016-02-21 01:02:26.791904
4144992,12776184,Entire home/apt,,Logan Circle,17,4.5,1.0,0.0,105.0,2.0,38.908155,-77.03116,2016-02-21 01:02:19.924476
3147415,5782,Entire home/apt,,Fort Totten-Upper Northeast,37,5.0,,3.0,165.0,1.0,38.962459,-77.022781,2016-02-21 01:02:12.914650
505617,695008,Private room,,Columbia Heights,99,5.0,2.0,1.0,80.0,4.0,38.93366,-77.02671,2016-02-21 01:02:03.337239
3842120,5627766,Entire home/apt,,South West,41,5.0,2.0,0.0,130.0,2.0,38.879201,-77.020903,2016-02-21 01:01:27.321151
5705067,5473815,Entire home/apt,,Capitol Hill,4,4.5,2.0,1.0,125.0,1.0,38.887427,-76.999304,2016-02-21 01:01:16.604464
8952347,46630199,Entire home/apt,,Catholic University-Brookland,23,4.5,5.0,0.0,95.0,1.0,38.932786,-76.983483,2016-02-21 01:01:13.545413
1042102,3152042,Entire home/apt,,Brentwood,0,,2.0,1.0,75.0,2.0,38.919098,-76.985763,2016-02-21 01:00:30.972538
6169790,8309431,Entire home/apt,,U Street Corridor,4,5.0,3.0,1.0,70.0,1.0,38.91845,-77.033269,2016-02-21 01:00:14.184542
198754,970466,Private room,,Shaw,0,,2.0,1.0,90.0,25.0,38.910565,-77.010917,2016-02-21 01:00:08.338890
10747043,7650266,Entire home/apt,,Dupont Circle,0,,2.0,1.0,130.0,7.0,38.914725,-77.044147,2016-02-21 00:59:26.232837
2361844,12062456,Entire home/apt,,Au-Tenleytown,43,5.0,4.0,0.0,95.0,1.0,38.933401,-77.080228,2016-02-21 00:59:10.545031
8568527,45095645,Entire home/apt,,Woodley Park,15,4.5,2.0,0.0,100.0,1.0,38.924497,-77.050814,2016-02-21 00:59:05.844008
4538736,23534663,Entire home/apt,,Columbia Heights,4,5.0,2.0,1.0,60.0,3.0,38.933379,-77.025327,2016-02-21 00:58:50.771561
9786046,46542918,Entire home/apt,,Downtown,1,1.0,4.0,2.0,319.0,2.0,38.900215,-77.033096,2016-02-21 00:58:45.650228
1822257,9540128,Entire home/apt,,Shaw,5,5.0,4.0,2.0,90.0,2.0,38.912855,-77.022184,2016-02-21 00:58:36.370082
8496069,44525433,Entire home/apt,,Capitol Hill,13,5.0,,3.0,155.0,3.0,38.904108,-76.986266,2016-02-21 00:58:31.810196
3726467,8321439,Private room,,Anacostia,29,4.5,1.0,1.0,50.0,1.0,38.86411,-76.989221,2016-02-21 00:58:27.726241
7910585,40989799,Shared room,,Dupont Circle,34,5.0,,1.0,36.0,2.0,38.915549,-77.043036,2016-02-21 00:57:59.832252
7581603,38168306,Shared room,,Georgetown,5,3.5,,1.0,40.0,1.0,38.903726,-77.062009,2016-02-21 00:57:44.311503
6059738,31451823,Entire home/apt,,Stadium-Armory,0,,,3.0,220.0,9.0,38.889214,-76.982879,2016-02-21 00:57:37.516157
6250041,32419141,Entire home/apt,,Columbia Heights,1,5.0,,2.0,150.0,1.0,38.931793,-77.029074,2016-02-21 00:57:25.247819
1124892,315148,Entire home/apt,,Columbia Heights,1,,2.0,1.0,105.0,7.0,38.932458,-77.034277,2016-02-21 00:57:17.709165
7837187,7904459,Entire home/apt,,Capitol Hill,5,5.0,3.0,0.0,110.0,2.0,38.883646,-76.99981,2016-02-21 00:56:57.315340
8883760,27061390,Entire home/apt,,Dupont Circle,1,5.0,3.0,1.0,79.0,1.0,38.917262,-77.040052,2016-02-21 00:56:52.738248
1573399,8008783,Entire home/apt,,Capitol Hill,22,5.0,,2.0,195.0,3.0,38.887279,-76.989055,2016-02-21 00:56:49.634386
1025018,4212613,Private room,,Catholic University-Brookland,40,4.5,2.0,1.0,37.0,1.0,38.950242,-76.992531,2016-02-21 00:56:36.512952
9475648,4173108,Entire home/apt,,Brentwood,2,5.0,4.0,2.0,99.0,1.0,38.925253,-76.956947,2016-02-21 00:56:23.702467
11314089,20189979,Entire home/apt,,Downtown,0,,2.0,0.0,150.0,1.0,38.903638,-77.027999,2016-02-21 00:56:09.124904
